text;;
HT : Persikad Depok 1 - 2 Cilegon United #PersikaDay #IscB @IdrisAShomad @bangpradi @pemkotdepok @Humas_depokpic.twitter.com/KPSAl09wDP;;
Udah sebulan air mati terus, smpe kapan pelayanan kaya gini terus? @Pdamkotadepok @TirtaAsasta @IdrisAShomad @YLKI_ID;;
Masa tiap hari air mati, pelanggan telat bayar lsg dicabut tapi pelayanan abal-abal @Pdamkotadepok @TirtaAsasta @IdrisAShomad @YLKI_ID;;
Dari subuh air gak ngalir di GDC Acacia sampe jam segini @Pdamkotadepok @TirtaAsasta @IdrisAShomad @YLKI_ID;;
@IdrisAShomad Usai Pelantikan RT & RW,Lurah berfoto bersama Pak RW se-Kel.Kalibaru dg Babinsa,Binmaspol,Ket.MUI Kec. pic.twitter.com/FFBHCvrvHS;;
@IdrisAShomad Pelantikan Ketua RT Dan Ketua RW se-Kel.Kalibaru Oleh Lurah dg masaBakti 2016-2019 diAula Kel,Selamat! pic.twitter.com/uaQnd3mUF3;;
Slmt siang Pak @IdrisAShomad lapor di Dmall org masih bebas merokok didlm resto krn pihak resto membolehkan. pic.twitter.com/qoKxxFmTXc;;
Pangkal jembatan ke blok M, RW 08 Jatimulya hampir roboh mhn di bantu @manto_dpk @IdrisAShomad pic.twitter.com/kgUgFBdMFT;;
@IdrisAShomad Assalam, Pak Kyai, mhn solusinya 4 unit PJU d RT03 RW15 panja dpk maharaja blk D.1 mati pic.twitter.com/v0ratt84WM;;
@IdrisAShomad @pradi_supriatna  berdasar SE Mendagri No.471 tgl 12Mei2016. Buat/ganti eKTP cukup copy KK.Mungkinkah?pic.twitter.com/RIQTeUlxVn;;
aktifis islam sangat santun bahasanya;;
"@IdrisAShomad @sadiah0913  ""Walikota Depok Bpk KH Dr Moch Idris berMay Day dg santunan di PUK PT Xacti Indonesia.""pic.twitter.com/M1ILWiAGqV";;
"@IdrisAShomad @pradi_supriatna @sadiah0913 ""WalikotaDepok Moch Idris ber MayDay dg santunan diPUK PT XactiIndonesia""pic.twitter.com/wVoc7Plfk6";;
@IdrisAShomad @pemkotdepok @BIMASDA lanjutan perbaikan turap kali jantung ceningampepic.twitter.com/UZ6B6sHhWZ;;
@IdrisAShomad @pemkotdepok @BIMASDA Kodim, DKP, Satgas BMSDA kerja bkakti di jl sejajar rel, belakang BWpic.twitter.com/lCVIwfn0uB;;
kapan depok masuk jaringan Perpustakaan Digital? solusi baca buku murah;;
bgmn klo agenda sosial  diupload disatu situs bbrp hari seblmnya, buat info yg  mau partisipasi;;
@DepokOnTIME @CelotehDEPOK @IdrisAShomad @ForumAnakDPK @ZonaDepok kita ramaikan yuk stadion merpatipic.twitter.com/0c6PAqqQZw;;
Maaf @pemkotdepok setiap pagi & mulai jumat trs begini. Tolong ,Pak/Bu. cc: @TirtaAsasta @IdrisAShomad @BIMASDA pic.twitter.com/bGiuUhlUTe;;
@IdrisAShomad Enjoy Your Weekend Pak Idris. Dari Advokat Daniel Dohar Pakpahan. 081282187888, 085753958999, 081389094148. Pin bb 51D2F185.;;
@IdrisAShomad sambungan jalan yang tidak rata seperti di jalan juanda sangat membahayakan pengguna jalan pak;;
pak @IdrisAShomad sambungan peninggian jalan juanda dibuat asal2an, tidak rata dan jadi seperti polisi tidur. mohon perhatiannya ya pak;;
cc @SekrtDisdukDpk  tlg dibantu;;
Coba Pak Wali, Ibu Bupati tolong dipikirkan bersama.;;
Pelebaran jln cuma 1m saja di depan Bukaka sdh 3 bln belum jg selesai.;;
@IdrisAShomad @pemkotdepok @BIMASDA penambalan jalan yg berlobang di Jl GDCpic.twitter.com/C8tK6uzrON;;
@IdrisAShomad @pemkotdepok @BIMASDA penambalan jalan yg berlobang di Jl Curugpic.twitter.com/IJhn26u6jX;;
@IdrisAShomad @pemkotdepok @BIMASDA bersih tali air drainase Jl Margondapic.twitter.com/ohgqDodiqv;;
kemacetan Transyogi +parah.Tak ada petugas, kec.Dishub Bks yg cuma pungut retribusi.;;
@TRIBUNnewsBogor @nenengyasin @IdrisAShomad @basuki_btp Andaikan Jl.Transyogi masuk Jkt. sj mungkin bisa lebih baik.;;
@IdrisAShomad @pemkotdepok @BIMASDA penambalan jalan yg berlobang di Jl Proklamasipic.twitter.com/GGAHlnMCut;;
Syukuran dan Ramah Tamah Satgas Pol PP Kota Depok @IdrisAShomad @pemkotdepokpic.twitter.com/MaSoZU2MkD;;
Pak wali, mungkin ini bisa dicontoh.. Siapa tau pemkot bs mempelopori gerakan positif seperti ini  @IdrisAShomad pic.twitter.com/iIQzY6msmz;;
@IdrisAShomad @pemkotdepok @BIMASDA mengingat sebagian besar kondisi msh baik dan efisiensi;;
Bidang Pertamanan mendekor panggung utk Sertijab Kapolres di Balaikota (Jum,13/05/16) @ZamrowiHasan @IdrisAShomad pic.twitter.com/ORvnJgDb3N;;
sudah 1jam sawangan permai matlamp tanpa ket yg jelas dari pihak pln;;
@IdrisAShomad @KemenBUMN berapa lama estimasi waktu yg dibutuhkan buat pln hidup...?;;
